Screen,Goal,Exam,Exam_tagged,Is_exam_tagged_correct,Subject,Subject_tagged,Is_subject_tagged_correct,Video_id,Duration_given,Duration_display,Expected_duration_display,Is_duration_okay,Embium_coins,Is_title_present,Is_description_less_150_character_range,Image_url_present,Video_url_present,Teaser_url_present,Status,Title,Description,Learn_path
Learn/home,ICSE,7th ICSE,7th ICSE,Yes,All Subjects,Mathematics,Yes,5914617.0,162.0,2 min 42 sec,2 mins 42 sec,No,100.0,Yes,No,Yes,Yes,Yes,Published,Horizontal Method of Addition,This video shows a method using which we can add two algebraic equations horizontally. Watch this video till the end and learn more about it.,ICSE--7th ICSE--Mathematics--Algebra--Algebraic Expressions--Addition and Subtraction of Algebraic Expressions
Learn/home/Science,ICSE,7th ICSE,7th ICSE,Yes,Science,Science,Yes,5912433.0,305.0,5 min 5 sec,5 mins 5 sec,No,100.0,Yes,No,Yes,Yes,Yes,Published,Laws of Reflection of Light,"Our world is full of people, animals, and things. Have you ever thought, how are we able to see things? Let’s study about light to decode that!",ICSE--7th ICSE--Science--Physics--Light Energy--Reflection of Light
Learn/home/Mathematics,ICSE,7th ICSE,7th ICSE,Yes,Mathematics,Mathematics,Yes,5914617.0,162.0,2 min 42 sec,2 mins 42 sec,No,100.0,Yes,No,Yes,Yes,Yes,Published,Horizontal Method of Addition,This video shows a method using which we can add two algebraic equations horizontally. Watch this video till the end and learn more about it.,ICSE--7th ICSE--Mathematics--Algebra--Algebraic Expressions--Addition and Subtraction of Algebraic Expressions
Learn/home,ICSE,8th ICSE,8th ICSE,Yes,All Subjects,Mathematics,Yes,5912272.0,220.0,3 min 40 sec,3 mins 40 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Pie Chart,"Pies, apart from being a sweet or savoury dish, have a mathematical significance in the form of pie charts. Each sector of the pie represents a portion of the whole. Watch the video to learn more.",ICSE--8th ICSE--Mathematics--Statistics and Probability--Data Handling--Circle Graph or Pie Chart
Learn/home/Science,ICSE,8th ICSE,8th ICSE,Yes,Science,Science,Yes,5912186.0,214.0,3 min 34 sec,3 mins 34 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Electric Conductors and Insulators,"Have you ever wondered why wires have a rubber coating on them? Let’s find out which materials allow electricity to pass through them, and which don't.",ICSE--8th ICSE--Science--Physics--Electricity--Conductors and Insulators
Learn/home/Mathematics,ICSE,8th ICSE,8th ICSE,Yes,Mathematics,Mathematics,Yes,5912272.0,220.0,3 min 40 sec,3 mins 40 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Pie Chart,"Pies, apart from being a sweet or savoury dish, have a mathematical significance in the form of pie charts. Each sector of the pie represents a portion of the whole. Watch the video to learn more.",ICSE--8th ICSE--Mathematics--Statistics and Probability--Data Handling--Circle Graph or Pie Chart
Learn/home,ICSE,9th ICSE,9th ICSE,Yes,All Subjects,Science,Yes,5912606.0,394.0,6 min 34 sec,6 mins 34 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Valency and Its Calculation,The tendency of an atom to complete its octet configuration is called valency. The last shell of electrons revolving around the nucleus is called its valence shell. Learn more about it in this video.,ICSE--9th ICSE--Science--Chemistry--Atomic Structure and Chemical Bonding--Introduction to Chemical Bonding
Learn/home/Science,ICSE,9th ICSE,9th ICSE,Yes,Science,Science,Yes,5912606.0,394.0,6 min 34 sec,6 mins 34 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Valency and Its Calculation,The tendency of an atom to complete its octet configuration is called valency. The last shell of electrons revolving around the nucleus is called its valence shell. Learn more about it in this video.,ICSE--9th ICSE--Science--Chemistry--Atomic Structure and Chemical Bonding--Introduction to Chemical Bonding
Learn/home/Mathematics,ICSE,9th ICSE,9th ICSE,Yes,Mathematics,Science,No,5912606.0,394.0,6 min 34 sec,6 mins 34 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Valency and Its Calculation,The tendency of an atom to complete its octet configuration is called valency. The last shell of electrons revolving around the nucleus is called its valence shell. Learn more about it in this video.,ICSE--9th ICSE--Science--Chemistry--Atomic Structure and Chemical Bonding--Introduction to Chemical Bonding
Learn/home,ICSE,10th ICSE,10th ICSE,Yes,All Subjects,Mathematics,Yes,5912741.0,391.0,6 min 31 sec,6 mins 31 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Nature of the Roots of the Quadratic Equation,"Concept of Discriminant, and its use in finding the nature of roots of a quadratic equation and to visualise the shape of a parabola using discriminant is explained in this video.",ICSE--10th ICSE--Mathematics--Algebra--Quadratic Equations in One Variable--Nature of Roots
Learn/home/Science,ICSE,10th ICSE,10th ICSE,Yes,Science,Science,Yes,5912377.0,120.0,2 min ,2 mins 0 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Global Warming,"Hot days are getting hotter and more frequent all over the globe, while we are experiencing fewer cold days. This is happening due to a phenomenon called ‘global warming’. Let’s learn more about it.",ICSE--10th ICSE--Science--Physics--Calorimetry--Meaning and Impact of Life on Earth
Learn/home/Mathematics,ICSE,10th ICSE,10th ICSE,Yes,Mathematics,Mathematics,Yes,5912741.0,391.0,6 min 31 sec,6 mins 31 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Nature of the Roots of the Quadratic Equation,"Concept of Discriminant, and its use in finding the nature of roots of a quadratic equation and to visualise the shape of a parabola using discriminant is explained in this video.",ICSE--10th ICSE--Mathematics--Algebra--Quadratic Equations in One Variable--Nature of Roots
Learn/home,ICSE,11th ICSE,11th ICSE,Yes,All Subjects,Physics,Yes,5913678.0,235.0,3 min 55 sec,3 mins 55 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Static Friction & It's Laws,Have you ever tried pushing a box and it fails to move? That’s because there is an opposing force preventing it. Let’s study the laws governing this opposing force in this session.,ICSE--11th ICSE--Physics--mechanics--laws of motion--friction
Learn/home/Physics,ICSE,11th ICSE,11th ICSE,Yes,Physics,Physics,Yes,5913678.0,235.0,3 min 55 sec,3 mins 55 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Static Friction & It's Laws,Have you ever tried pushing a box and it fails to move? That’s because there is an opposing force preventing it. Let’s study the laws governing this opposing force in this session.,ICSE--11th ICSE--Physics--mechanics--laws of motion--friction
Learn/home/Mathematics,ICSE,11th ICSE,11th ICSE,Yes,Mathematics,Mathematics,Yes,5913645.0,74.0,1 min 14 sec,1 mins 14 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Mathematical Statements,"We view math only as complicated equations and algorithms. But math, at its core, is about determining truth, at least for certain precise mathematical Statements. Let's explore them in this video.",ICSE--11th ICSE--Mathematics--Algebra--Mathematical Reasoning--Statements
Learn/home/Chemistry,ICSE,11th ICSE,11th ICSE,Yes,Chemistry,Chemistry,Yes,5915438.0,103.0,1 min 43 sec,1 mins 43 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Preparation and Properties of Methane,"Methane is a colourless, odourless and highly flammable gas. It is a greenhouse gas and one of the main parts of natural gas. Watch the video to know about more properties and uses of Methane.",ICSE--11th ICSE--Chemistry--Organic Chemistry--Hydrocarbons--Alkanes
Learn/home/Biology,ICSE,11th ICSE,11th ICSE,Yes,Biology,Biology,Yes,5913226.0,242.0,4 min 2 sec,4 mins 2 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Heart Beats,The heart is an organ that works consistently. It beats throughout the lifetime of a person. The synchronised contraction of the heart muscles causes rhythmic beating. The video explains.,ICSE--11th ICSE--Biology--Human Physiology--Body Fluids and Circulation--Human Circulatory System
Learn/home,ICSE,12th ICSE,12th ICSE,Yes,All Subjects,Physics,Yes,5914191.0,233.0,3 min 53 sec,3 mins 53 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Force on a Charge: Condition for Circular and Straight Path,Can you tell me where we can use a moving charged particle in a magnetic field? What type of motion will it undergo in the magnetic field? Let’s learn it through this video.,ICSE--12th ICSE--Physics--Electricity and Magnetism--Moving Charges and Magnetism--Force on a Moving Charge
Learn/home/Physics,ICSE,12th ICSE,12th ICSE,Yes,Physics,Physics,Yes,5914191.0,233.0,3 min 53 sec,3 mins 53 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magnetic Force on a Charge: Condition for Circular and Straight Path,Can you tell me where we can use a moving charged particle in a magnetic field? What type of motion will it undergo in the magnetic field? Let’s learn it through this video.,ICSE--12th ICSE--Physics--Electricity and Magnetism--Moving Charges and Magnetism--Force on a Moving Charge
Learn/home/Mathematics,ICSE,12th ICSE,12th ICSE,Yes,Mathematics,Mathematics,Yes,5914134.0,108.0,1 min 48 sec,1 mins 48 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,"Equation of Plane Making Intercepts on x,y,z Axis","In 2 Dimensional geometry, you must have studied the Intercept form of the Equation of the straight line. Could you think of the Intercept form of the equation of a plane? Watch the Video for answers.",ICSE--12th ICSE--Mathematics--Coordinate Geometry--Three Dimensional Geometry--Various Form of Equation of a Plane
Learn/home/Chemistry,ICSE,12th ICSE,12th ICSE,Yes,Chemistry,Chemistry,Yes,5913934.0,61.0,1 min 1 sec,1 mins 1 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Extraction of Mercury,"Extraction of mercury is nothing but a distillation process. The ore is heated, and the metal is liberated. Let's take a look at the pyrometallurgy process in this video.",ICSE--12th ICSE--Chemistry--Inorganic Chemistry--General Principles and Processes of Isolation of Elements--Extraction of Crude Metals from Concentrated Ores
Learn/home/Biology,ICSE,12th ICSE,12th ICSE,Yes,Biology,Biology,Yes,5915711.0,259.0,4 min 19 sec,4 mins 19 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Factors of Speciation,"The factors that cause speciation are… several. From the microscopic world to the macroscopic one, be it a mutation or the meeting of two surprisingly compatible species.",ICSE--12th ICSE--Biology--Genetics and Evolution--Evolution--Concept of Species and Speciation
Learn/home,Tamil Nadu Board,1st Tamil Nadu State Board,2nd tamil nadu state board,No,All Subjects,Environmental Science,Yes,6410096.0,145.0,15 sec,2 mins 25 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,The Sense Organs,Flowers are beautiful. But what helps us to see these flowers and smell them? Let's have a look at those organs which help us carry out these functions.,tamil nadu board--2nd tamil nadu state board--environmental science--physical science--the pancha bhutas--fire
Learn/home/Mathematics,Tamil Nadu Board,1st Tamil Nadu State Board,1st tamil nadu state board,Yes,Mathematics,Mathematics,Yes,6409957.0,87.0,15 sec,1 mins 27 sec,No,100.0,Yes,No,Yes,Yes,Yes,Published,Sorting Shapes,"In this video, let us learn how to group different objects on the basis of their shapes.",tamil nadu board--1st tamil nadu state board--mathematics--geometry--geometry--introduction to basic shapes
Learn/home/Environmental Science,Tamil Nadu Board,1st Tamil Nadu State Board,2nd tamil nadu state board,No,Environmental Science,Environmental Science,Yes,6410096.0,145.0,15 sec,2 mins 25 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,The Sense Organs,Flowers are beautiful. But what helps us to see these flowers and smell them? Let's have a look at those organs which help us carry out these functions.,tamil nadu board--2nd tamil nadu state board--environmental science--physical science--the pancha bhutas--fire
Learn/home,Tamil Nadu Board,2nd Tamil Nadu State Board,2nd tamil nadu state board,Yes,All Subjects,Environmental Science,Yes,6410138.0,181.0,1 min 49 sec,3 mins 1 sec,No,100.0,Yes,No,Yes,Yes,Yes,Published,Different Parts of Plants,We have so many plants all around us but do you know that plants have various parts. Let see the video to know about the parts of a plant.,tamil nadu board--2nd tamil nadu state board--environmental science--life science--plants around us--parts of a plant
Learn/home/Mathematics,Tamil Nadu Board,2nd Tamil Nadu State Board,2nd tamil nadu state board,Yes,Mathematics,Mathematics,Yes,6409964.0,123.0,15 sec,2 mins 3 sec,No,100.0,Yes,No,Yes,Yes,Yes,Published,Comparing Heavier and Lighter Objects,"In this video, we will learn how to compare weights of different objects using a weighing machine.",tamil nadu board--2nd tamil nadu state board--mathematics--arithmetic--measurements--comparison of weight and measuring weight
Learn/home/Environmental Science,Tamil Nadu Board,2nd Tamil Nadu State Board,2nd tamil nadu state board,Yes,Environmental Science,Environmental Science,Yes,6410138.0,181.0,1 min 49 sec,3 mins 1 sec,No,100.0,Yes,No,Yes,Yes,Yes,Published,Different Parts of Plants,We have so many plants all around us but do you know that plants have various parts. Let see the video to know about the parts of a plant.,tamil nadu board--2nd tamil nadu state board--environmental science--life science--plants around us--parts of a plant
Learn/home,Tamil Nadu Board,3rd Tamil Nadu State Board,3rd tamil nadu state board,Yes,All Subjects,Environmental Science,No,6410208.0,216.0,3 min 36 sec,3 mins 36 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Importance of Education,Your school is the perfect place for you to get together with your friends and try out practical ways to help the environment. Make your hours at school fun by following the suggestions in this video!,tamil nadu board--3rd tamil nadu state board--science--social science--family--basic needs of family
Learn/home/Science,Tamil Nadu Board,3rd Tamil Nadu State Board,3rd tamil nadu state board,Yes,Science,Environmental Science,No,6410208.0,216.0,3 min 36 sec,3 mins 36 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Importance of Education,Your school is the perfect place for you to get together with your friends and try out practical ways to help the environment. Make your hours at school fun by following the suggestions in this video!,tamil nadu board--3rd tamil nadu state board--science--social science--family--basic needs of family
Learn/home/Mathematics,Tamil Nadu Board,3rd Tamil Nadu State Board,3rd tamil nadu state board,Yes,Mathematics,Mathematics,Yes,6409994.0,123.0,2 min 3 sec,2 mins 3 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Comparing Heavier and Lighter Objects,"Did you know that the heaviest animal is the blue whale, and the lightest of species is the shrew? In this video, let's try to compare a set of objects based on their weights.",tamil nadu board--3rd tamil nadu state board--mathematics--arithmetic--measurements--measurement of weight
Learn/home/Mathematics,Tamil Nadu Board,3rd Tamil Nadu State Board,3rd tamil nadu state board,Yes,Mathematics,Mathematics,Yes,6409990.0,187.0,3 min 7 sec,3 mins 7 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Magic in Calendar Dates,"Patterns, patterns everywhere! Do you know that a pattern can be formed with the calendar dates, too? Jump right into the video for some learning and fun!",tamil nadu board--3rd tamil nadu state board--mathematics--arithmetic--time--calendar
Learn/home,Tamil Nadu Board,4th Tamil Nadu State Board,4th tamil nadu state board,Yes,All Subjects,Environmental Science,No,6410247.0,193.0,15 sec,3 mins 13 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Modes of Transport,You might have used various modes of transport for travelling from one place to another. Can you recognise a few of them? Let's have a quick look to learn more!,tamil nadu board--4th tamil nadu state board--science--social science--transport--transport and modes of transport
Learn/home/Science,Tamil Nadu Board,4th Tamil Nadu State Board,4th tamil nadu state board,Yes,Science,Environmental Science,No,6410247.0,193.0,15 sec,3 mins 13 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Modes of Transport,You might have used various modes of transport for travelling from one place to another. Can you recognise a few of them? Let's have a quick look to learn more!,tamil nadu board--4th tamil nadu state board--science--social science--transport--transport and modes of transport
Learn/home/Mathematics,Tamil Nadu Board,4th Tamil Nadu State Board,KEY NOT AVAILABLE,No,Mathematics,Mathematics,Yes,6410024.0,268.0,15 sec,4 mins 28 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Read Analog Clock and Its Working Hands,"Even though there are 24 hours a day, Analog clock holds 12 units of hours. Let us learn and understand the functions of different hands in a clock and also how to read an analog clock.",tamil nadu board-3rd tamil nadu state board-mathematics-arithmetic-time-analog and digital clocks
Learn/home,Tamil Nadu Board,5th Tamil Nadu State Board,5th tamil nadu state board,Yes,All Subjects,Environmental Science,No,6410285.0,198.0,3 min 19 sec,3 mins 18 sec,No,100.0,Yes,No,Yes,Yes,Yes,Published,A Story About Moon,"It is the nearest celestial object to us, and it illuminates our sky on most nights. It is indeed the moon. Let’s examine it in more detail",tamil nadu board--5th tamil nadu state board--science--social science--our earth--solar system
Learn/home/Science,Tamil Nadu Board,5th Tamil Nadu State Board,5th tamil nadu state board,Yes,Science,Environmental Science,No,6410285.0,198.0,3 min 19 sec,3 mins 18 sec,No,100.0,Yes,No,Yes,Yes,Yes,Published,A Story About Moon,"It is the nearest celestial object to us, and it illuminates our sky on most nights. It is indeed the moon. Let’s examine it in more detail",tamil nadu board--5th tamil nadu state board--science--social science--our earth--solar system
Learn/home/Mathematics,Tamil Nadu Board,5th Tamil Nadu State Board,5th tamil nadu state board,Yes,Mathematics,Mathematics,Yes,6410074.0,113.0,15 sec,1 mins 53 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Reading of Bar Graph and Its interpretation,"Did you know that businesses use bar graphs to present information such as sales information, to customers as well as to employees? Watch the video, and learn to interpret data from a bar graph!",tamil nadu board--5th tamil nadu state board--mathematics--statistics--information processing--graphical representation of data
Learn/home,Tamil Nadu Board,6th Tamil Nadu State Board,KEY NOT AVAILABLE,No,All Subjects,Mathematics,Yes,5914225.0,133.0,1 min 26 sec,2 mins 13 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Large Numbers Reading and Writing,"Let's start from the very beginning, a very good place to start. When you read you start with ABC, and if they're numbers you start with thousands, hundreds, tens and ones, you see?",Tamil Nadu Board-6th Tamil Nadu State Board-Mathematics-arithmetic-numbers-comparison of numbers
Learn/home/Science,Tamil Nadu Board,6th Tamil Nadu State Board,6th tamil nadu state board,Yes,Science,Science,Yes,5914469.0,95.0,1 min 36 sec,1 mins 35 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Amount of Oxygen in Air,"We all know that air is a mixture of different gases. Of all of these gases, the most important life sustaining and active component is oxygen. Learn about oxygen in this video.",tamil nadu board--6th tamil nadu state board--science--chemistry--air--composition of air
Learn/home/Mathematics,Tamil Nadu Board,6th Tamil Nadu State Board,KEY NOT AVAILABLE,No,Mathematics,Mathematics,Yes,5914225.0,133.0,1 min 26 sec,2 mins 13 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Large Numbers Reading and Writing,"Let's start from the very beginning, a very good place to start. When you read you start with ABC, and if they're numbers you start with thousands, hundreds, tens and ones, you see?",Tamil Nadu Board-6th Tamil Nadu State Board-Mathematics-arithmetic-numbers-comparison of numbers
Learn/home,Tamil Nadu Board,7th Tamil Nadu State Board,7th tamil nadu state board,Yes,All Subjects,Mathematics,Yes,5914552.0,430.0,7 min 12 sec,7 mins 10 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Congruent Figures,Let's watch this video to know what Congruence is. We will also take a look at the features of congruent polygons and the symbol used to denote that the polygons are congruent.,tamil nadu board--7th tamil nadu state board--mathematics--geometry--geometry--congruency of plane figures
Learn/home/Science,Tamil Nadu Board,7th Tamil Nadu State Board,7th tamil nadu state board,Yes,Science,Science,Yes,5914742.0,266.0,4 min 33 sec,4 mins 26 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Sources of Light & Its Rectilinear Propagation,What do you think light is? Have you ever considered that question? It turns out to be more interesting than you’d think! Learn about what light is and its properties.,tamil nadu board--7th tamil nadu state board--science--physics--light--sources of light
Learn/home/Mathematics,Tamil Nadu Board,7th Tamil Nadu State Board,7th tamil nadu state board,Yes,Mathematics,Mathematics,Yes,5914552.0,430.0,7 min 12 sec,7 mins 10 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Congruent Figures,Let's watch this video to know what Congruence is. We will also take a look at the features of congruent polygons and the symbol used to denote that the polygons are congruent.,tamil nadu board--7th tamil nadu state board--mathematics--geometry--geometry--congruency of plane figures
Learn/home,Tamil Nadu Board,8th Tamil Nadu State Board,8th tamil nadu state board,Yes,All Subjects,Mathematics,Yes,5912256.0,231.0,1 min 31 sec,3 mins 51 sec,No,100.0,Yes,Yes,Yes,Yes,Yes,Published,Elements of a Quadrilateral,"Flying a kite with your friends on a windy day is fun, isn’t it? Did you know that a kite is a quadrilateral? Let us watch this video on the sides and angles of a quadrilateral.",tamil nadu board--8th tamil nadu state board--mathematics--geometry--geometry--construction of quadrilaterals
