goal,exam,subject,videoId,specialRank,videotitle,duration
CBSE,7th CBSE,Science,5914757,8,Depletion of Water Table,106
CBSE,7th CBSE,Science,5912237,9,Importance of Water,155
CBSE,7th CBSE,Science,5914771,10,Effects of Water Pollution on The Environment,141
CBSE,7th CBSE,Mathematics,5914600,11,Area of a circle,173
CBSE,7th CBSE,Mathematics,5914510,12,What are variables?,221
CBSE,7th CBSE,Mathematics,5912195,13,Basics of Fractions,307
CBSE,7th CBSE,Mathematics,5912192,14,Product of Two Integers,260
CBSE,7th CBSE,Mathematics,5914539,15,Pythagoras Theorem,157
CBSE,7th CBSE,Science,5914649,16,Mode of nutrition in Insectivorous plants,152
CBSE,7th CBSE,Science,5914681,17,"Weather, Temperature and Atmosphere",355
CBSE,7th CBSE,Science,5912388,18,ormation of Organisms from Cells,170
CBSE,7th CBSE,Science,5914678,19,What is Humidity and Dew Point,111
CBSE,7th CBSE,Science,5914679,20,Difference in Temperature of Air,228
CBSE,8th CBSE,Science,5912433,1,Laws of Reflection of Light,305
CBSE,8th CBSE,Science,5914886,2,Rolling and Sliding Friction,250
CBSE,8th CBSE,Science,5914905,3,Phases of the moon,213
CBSE,8th CBSE,Science,5914877,4,Force : A Push or A Pull,140
CBSE,8th CBSE,Science,5914878,5,Forces are due to Interaction,141
CBSE,8th CBSE,Science,5912373,6,"Products of Coal - Coal Tar, Coal Gas and Coke",164
CBSE,8th CBSE,Science,5914985,7,"Atoms, Molecules and Ions",423
CBSE,8th CBSE,Science,5914982,8,Crystallisation and it's Process,110
CBSE,8th CBSE,Science,5912368,9,Reaction of Metals with Oxygen,161
CBSE,8th CBSE,Science,5912369,10,Reaction of Non Metals with Oxygen,39
CBSE,8th CBSE,Mathematics,5912315,11,Surface Area of Rectangular Solids,268
CBSE,8th CBSE,Mathematics,5912272,12,Pie Chart,220
CBSE,8th CBSE,Mathematics,5912238,13,Rational Numbers: Introduction,55
CBSE,8th CBSE,Mathematics,5912304,14,Geometric and Algebraic proof of (a+b)^2,106
CBSE,8th CBSE,Mathematics,5912251,15,Types of Quadrilaterals,213
CBSE,8th CBSE,Science,5912357,16,Types of Viruses,221
CBSE,8th CBSE,Science,5914852,17,Our Ecosystem,135
CBSE,8th CBSE,Science,5912388,18,ormation of Organisms from Cells,170
CBSE,8th CBSE,Science,5914853,19,What is an Ecosystem?,442
CBSE,8th CBSE,Science,5914854,20,Importance of Forests and its Conservation,156
CBSE,9th CBSE,Science,5915033,1,Archimedes’ Principle - Statement and Applications,398
CBSE,9th CBSE,Science,5912686,2,SONAR,279
CBSE,9th CBSE,Science,5912639,3,Acceleration,527
CBSE,9th CBSE,Science,5912675,4,Law of Conservation of Energy,480
CBSE,9th CBSE,Science,5912638,5,Introduction to Motion,151
CBSE,9th CBSE,Science,5912606,6,Valency and its Calculation,394
CBSE,9th CBSE,Science,5914985,7,"Atoms, Molecules and Ions",423
CBSE,9th CBSE,Science,5914982,8,Crystallisation and it's Process,110
CBSE,9th CBSE,Science,5914997,9,Chemical Bonds of Atoms,309
CBSE,9th CBSE,Science,5914998,10,Constitution of the Atomic Nucleus,118
CBSE,9th CBSE,Mathematics,5912564,11,Introduction to the Volume of a cylinder,271
CBSE,9th CBSE,Mathematics,5912502,12,Properties of a Parallelogram,335
CBSE,9th CBSE,Mathematics,5914912,13,Number System: Revision,69
CBSE,9th CBSE,Mathematics,5914940,14,Expansion of (a + b)3,166
CBSE,9th CBSE,Mathematics,5912487,15,Understanding the RHS Congruence Criteria,385
CBSE,9th CBSE,Science,5915011,16,Complex tissues (Xylem and phloem),256
CBSE,9th CBSE,Science,5912614,17,Meristematic tissues,116
CBSE,9th CBSE,Science,5915010,18,Simple permanent tissue: Parenchyma,246
CBSE,9th CBSE,Science,5912615,19,Cutin and Suberin,106
CBSE,9th CBSE,Science,5915011,20,Complex tissues (Xylem and phloem),256
CBSE,10th CBSE,Science,5915191,1,Magnetic Field-Current Carrying Circular Loop,181
CBSE,10th CBSE,Science,5912987,2,Electric Motor,452
CBSE,10th CBSE,Science,5913003,3,Hydroelectric Power,345
CBSE,10th CBSE,Science,5912957,4,Atmospheric Refraction,422
CBSE,10th CBSE,Science,5915182,5,Ohm’s Law & Introduction to Electric Resistance,445
CBSE,10th CBSE,Science,5912891,6,Diamond and Graphite : Structure and Properties,285
CBSE,10th CBSE,Science,5912858,7,Combination Reactions,128
CBSE,10th CBSE,Science,5912884,8,Extraction of metals,240
CBSE,10th CBSE,Science,5912854,9,Characteristics of Chemical Reactions,143
CBSE,10th CBSE,Science,5912856,10,Chemical Reactions and Equations,368
CBSE,10th CBSE,Mathematics,5912741,11,Nature of the Roots of the Quadratic Equation,391
CBSE,10th CBSE,Mathematics,5915105,12,Volume of Frustum of a cone,228
CBSE,10th CBSE,Mathematics,5912775,13,Definition of a Midpoint,67
CBSE,10th CBSE,Mathematics,5912776,14,Coordinates of the Incentre,178
CBSE,10th CBSE,Mathematics,5915094,15,Area Of Triangle (Coordinate Geometry),325
CBSE,10th CBSE,Science,5913013,16,Energy flow in an ecosystem,227
CBSE,10th CBSE,Science,5912915,17,Photosynthesis in Plants,227
CBSE,10th CBSE,Science,5912916,18,Role of Chlorophyll in Photosynthesis,155
CBSE,10th CBSE,Science,5912917,19,Nutrition in Animals,144
CBSE,10th CBSE,Science,5915125,20,Raw materials of Photosynthesis,176
CBSE,11th CBSE,Physics,5915600,1,Angular Momentum,443
CBSE,11th CBSE,Physics,5913692,2,Laws of Conservation,129
CBSE,11th CBSE,Physics,5913696,3,Mechanical Power,326
CBSE,11th CBSE,Physics,5915554,4,Relative Velocity in One Dimensional Motion,381
CBSE,11th CBSE,Physics,5913718,5,Introduction to Earth Satellites,310
CBSE,11th CBSE,Chemistry,5915364,6,Emission Spectra and the flame test,360
CBSE,11th CBSE,Chemistry,5915398,7,Hybridisation in Ethane Molecule,277
CBSE,11th CBSE,Chemistry,5915415,8,Hydrogenation of Vegetable Oils,205
CBSE,11th CBSE,Chemistry,5915394,9,Formation of Sigma and pi Bond,443
CBSE,11th CBSE,Chemistry,5913416,10,Aromaticity and Huckel Rule,400
CBSE,11th CBSE,Mathematics,5913603,11,conic sections,246
CBSE,11th CBSE,Mathematics,5913634,12,Definition of derivative,333
CBSE,11th CBSE,Mathematics,5915476,13,Venn Diagrams,365
CBSE,11th CBSE,Mathematics,5913593,14,The Slope of a Straight Line,287
CBSE,11th CBSE,Mathematics,5913622,15,Coordinate Axes and Coordinate Planes in 3D,182
CBSE,11th CBSE,Biology,5913226,16,Heart Beats,242
CBSE,11th CBSE,Biology,5915315,17,Synaptic Transmission,441
CBSE,11th CBSE,Biology,5915214,18,General Characters of Kingdom Monera,75
CBSE,11th CBSE,Biology,5913242,19,Locomotion in Animals,167
CBSE,11th CBSE,Biology,5914834,20,Algae and Diatoms - Structure and Habitat,177
CBSE,12th CBSE,Physics,5914191,1,Condition for Circular and Straight Path of a Charge,233
CBSE,12th CBSE,Physics,5916080,2,Young's Double-Slit Experiment,296
CBSE,12th CBSE,Physics,5916022,3,LC Oscillations,410
CBSE,12th CBSE,Physics,5916062,4,Power of A Lens,149
CBSE,12th CBSE,Physics,5916096,5,Understanding Dual Nature of Radiation and Matter,474
CBSE,12th CBSE,Chemistry,5978568,6,Close Packed Structures and Packing Efficiency,308
CBSE,12th CBSE,Chemistry,5915783,7,use of SHE as anode,369
CBSE,12th CBSE,Chemistry,5915797,8,factors affecting products of electrolysis part- 2,377
CBSE,12th CBSE,Chemistry,5915770,9,Elevation in Boiling Point,285
CBSE,12th CBSE,Chemistry,5915826,10,Laboratory Preparation of Nitric Acid,182
CBSE,12th CBSE,Mathematics,5914065,11,Concept of Integration,321
CBSE,12th CBSE,Mathematics,5914126,12,Direction Cosine and Direction Ratio,440
CBSE,12th CBSE,Mathematics,5914043,13,Critical points and first derivative test,435
CBSE,12th CBSE,Mathematics,5914131,14,Plane and its Equation,517
CBSE,12th CBSE,Mathematics,5914041,15,Mean value theorem,261
CBSE,12th CBSE,Biology,5913840,16,In vitro Fertilisation,272
CBSE,12th CBSE,Biology,5915738,17,Stem Cells and its Importance,223
CBSE,12th CBSE,Biology,5915698,18,Protein Synthesis Process: Translation,342
CBSE,12th CBSE,Biology,5915729,19,Cancer,210
CBSE,12th CBSE,Biology,5915694,20,Chemical and Physical DNA Structure,373
Engineering,JEE Main,Physics,5915924,1,Gold-leaf Electroscope,518
Engineering,JEE Main,Physics,5914167,2,Electrostatic Force and Coulomb’s Law,333
Engineering,JEE Main,Physics,5914168,3,Coulomb's Law in Vector Form,253
Engineering,JEE Main,Physics,5914169,4,Coulomb Forces Between Many Charges,272
Engineering,JEE Main,Physics,5916012,5,Self Induction,269
Engineering,JEE Main,Chemistry,5913950,6,Classification of Ligands,361
Engineering,JEE Main,Chemistry,5913952,7,Geometrical Isomerism in Coordination Compounds,302
Engineering,JEE Main,Chemistry,5915786,8,numerical form of nernst equation,79
Engineering,JEE Main,Chemistry,5913925,9,Heterogeneous Catalysis,197
Engineering,JEE Main,Chemistry,5915803,10,dry cell,148
Engineering,JEE Main,Mathematics,5913444,11,Introduction to Sets,351
Engineering,JEE Main,Mathematics,5915467,12,Notations for a Set,86
Engineering,JEE Main,Mathematics,5913445,13,Sets and Their Representations,182
Engineering,JEE Main,Mathematics,5913557,14,Introduction to Binomial Theorem,313
Engineering,JEE Main,Mathematics,5915469,15,Empty Set,96
Engineering,JEE Advanced,Physics,5915976,1,Kirchhoff's Second Law,249
Engineering,JEE Advanced,Physics,5914195,2,Biot Savart Law : Magnetic Field Due to Current Element,255
Engineering,JEE Advanced,Physics,5914197,3,Magnetic Field Around Current Carrying Circular Coil,181
Engineering,JEE Advanced,Physics,5914198,4,Factors Affecting Magnetic Field Around Circular Coil,228
Engineering,JEE Advanced,Physics,5916004,5,Lenz's Law,251
Engineering,JEE Advanced,Chemistry,5915836,6,Preparation of Oxygen from Hydrogen Peroxide,74
Engineering,JEE Advanced,Chemistry,5915841,7,Distinguishing Metal and Non-Metal Using Oxygen,222
Engineering,JEE Advanced,Chemistry,5915845,8,Resonance Structures of Ozone,298
Engineering,JEE Advanced,Chemistry,5915847,9,Physical Properties of Sulphur Dioxide,74
Engineering,JEE Advanced,Chemistry,5915853,10,Physical Properties of Sulphuric Acid,113
Engineering,JEE Advanced,Mathematics,5914075,11,Method of Partial Fractions,246
Engineering,JEE Advanced,Mathematics,5914072,12,Integration of Trigonometric Form,153
Engineering,JEE Advanced,Mathematics,5914071,13,Integrals of Different Forms,232
Engineering,JEE Advanced,Mathematics,5914065,14,Concept of Integration,321
Engineering,JEE Advanced,Mathematics,5914066,15,Properties of Indefinite Integrals,148
Medical,NEET,Physics,5915538,1,Significant Figures in a Measurement,582
Medical,NEET,Physics,5915522,2,Different Systems of Units,115
Medical,NEET,Physics,5913685,3,Work Done by a Variable Force,418
Medical,NEET,Physics,5915577,4,Energy-Introduction,99
Medical,NEET,Physics,5913691,5,Transformation of Energy,480
Medical,NEET,Chemistry,5913291,6,Brittle Nature of Ionic Compound,69
Medical,NEET,Chemistry,5913285,7,What are the differences between ionic and coordinate bond,270
Medical,NEET,Chemistry,5915388,8,Ionic Character in Covalent Molecules,158
Medical,NEET,Chemistry,5915389,9,Fajans Rule in Action,342
Medical,NEET,Chemistry,5915380,10,Bond Distance,294
Medical,NEET,Biology,5915719,11,First Line of Defence,194
Medical,NEET,Biology,5915720,12,Function and Characteristics of Leukocytes,100
Medical,NEET,Biology,5915721,13,Third line of defence,107
Medical,NEET,Biology,5913122,14,The Plasma Membrane,236
Medical,NEET,Biology,5915722,15,Structure of antibody,180
Banking,IBPS Clerk Prelims,Quantitative Aptitude,5914239,1,Introduction to Whole Numbers,69
Banking,IBPS Clerk Prelims,Quantitative Aptitude,5912744,2,Sum of first n terms of Arithmetic Progression,334
Banking,IBPS Clerk Prelims,Quantitative Aptitude,5913574,3,Geometric Progression and its nth term,321
Banking,IBPS Clerk Prelims,Quantitative Aptitude,5912584,4,Problem on finding corrected means,190
Banking,IBPS Clerk Prelims,Quantitative Aptitude,5914482,5,Product of Two or Three Fractions,204
Banking,IBPS Clerk Prelims,Reasoning,5914540,6,Illustration of the Pythagorean Theorem,272
Banking,IBPS Clerk Prelims,Reasoning,5914519,7,Word problem on age,92
Banking,IBPS Clerk Prelims,Reasoning,5914253,8,Test for Divisibility by 4 and 8,285
Banking,IBPS Clerk Prelims,Reasoning,5914254,9,Test for Divisibility by 9,210
Banking,IBPS Clerk Prelims,Reasoning,5914252,10,Test for Divisibility by 6,139
Banking,IBPS Clerk Prelims,English Language,NA,11,NA,NA
Banking,IBPS Clerk Prelims,English Language,NA,12,NA,NA
Banking,IBPS Clerk Prelims,English Language,NA,13,NA,NA
Banking,IBPS Clerk Prelims,English Language,NA,14,NA,NA
Banking,IBPS Clerk Prelims,English Language,NA,15,NA,NA
Banking,IBPS Clerk Mains,Quantitative Aptitude,5914239,1,Introduction to Whole Numbers,69
Banking,IBPS Clerk Mains,Quantitative Aptitude,5912744,2,Sum of first n terms of Arithmetic Progression,334
Banking,IBPS Clerk Mains,Quantitative Aptitude,5913574,3,Geometric Progression and its nth term,321
Banking,IBPS Clerk Mains,Quantitative Aptitude,5912584,4,Problem on finding corrected means,190
Banking,IBPS Clerk Mains,Quantitative Aptitude,5914482,5,Product of Two or Three Fractions,204
Banking,IBPS Clerk Mains,Reasoning,5914540,6,Illustration of the Pythagorean Theorem,272
Banking,IBPS Clerk Mains,Reasoning,5914519,7,Word problem on age,92
Banking,IBPS Clerk Mains,Reasoning,5914253,8,Test for Divisibility by 4 and 8,285
Banking,IBPS Clerk Mains,Reasoning,5914254,9,Test for Divisibility by 9,210
Banking,IBPS Clerk Mains,Reasoning,5914252,10,Test for Divisibility by 6,139
Banking,IBPS Clerk Mains,English Language,NA,11,NA,NA
Banking,IBPS Clerk Mains,English Language,NA,12,NA,NA
Banking,IBPS Clerk Mains,English Language,NA,13,NA,NA
Banking,IBPS Clerk Mains,English Language,NA,14,NA,NA
Banking,IBPS Clerk Mains,English Language,NA,15,NA,NA
Banking,IBPS Clerk Mains,General Awareness,5913001,16,Non-conventional Sources of Energy,142
Banking,IBPS Clerk Mains,General Awareness,5912995,17,Renewable Resources of Energy,274
Banking,IBPS Clerk Mains,General Awareness,5912208,18,Photosynthesis,130
Banking,IBPS Clerk Mains,General Awareness,5912395,19,All About Plastids!,253
Banking,IBPS Clerk Mains,General Awareness,5913891,20,Methods of Controlling Air Pollution,318
Banking,IBPS PO Prelims,Quantitative Aptitude,5914239,1,Introduction to Whole Numbers,69
Banking,IBPS PO Prelims,Quantitative Aptitude,5912744,2,Sum of first n terms of Arithmetic Progression,334
Banking,IBPS PO Prelims,Quantitative Aptitude,5913574,3,Geometric Progression and its nth term,321
Banking,IBPS PO Prelims,Quantitative Aptitude,5912584,4,Problem on finding corrected means,190
Banking,IBPS PO Prelims,Quantitative Aptitude,5914482,5,Product of Two or Three Fractions,204
Banking,IBPS PO Prelims,Reasoning,5914540,6,Illustration of the Pythagorean Theorem,272
Banking,IBPS PO Prelims,Reasoning,5914519,7,Word problem on age,92
Banking,IBPS PO Prelims,Reasoning,5914253,8,Test for Divisibility by 4 and 8,285
Banking,IBPS PO Prelims,Reasoning,5914254,9,Test for Divisibility by 9,210
Banking,IBPS PO Prelims,Reasoning,5914252,10,Test for Divisibility by 6,139
Banking,IBPS PO Prelims,English Language,NA,11,NA,NA
Banking,IBPS PO Prelims,English Language,NA,12,NA,NA
Banking,IBPS PO Prelims,English Language,NA,13,NA,NA
Banking,IBPS PO Prelims,English Language,NA,14,NA,NA
Banking,IBPS PO Prelims,English Language,NA,15,NA,NA
Banking,IBPS PO Mains,Quantitative Aptitude,5914239,1,Introduction to Whole Numbers,69
Banking,IBPS PO Mains,Quantitative Aptitude,5912744,2,Sum of first n terms of Arithmetic Progression,334
Banking,IBPS PO Mains,Quantitative Aptitude,5913574,3,Geometric Progression and its nth term,321
Banking,IBPS PO Mains,Quantitative Aptitude,5912584,4,Problem on finding corrected means,190
Banking,IBPS PO Mains,Quantitative Aptitude,5914482,5,Product of Two or Three Fractions,204
Banking,IBPS PO Mains,Reasoning,5914540,6,Illustration of the Pythagorean Theorem,272
Banking,IBPS PO Mains,Reasoning,5914519,7,Word problem on age,92
Banking,IBPS PO Mains,Reasoning,5914253,8,Test for Divisibility by 4 and 8,285
Banking,IBPS PO Mains,Reasoning,5914254,9,Test for Divisibility by 9,210
Banking,IBPS PO Mains,Reasoning,5914252,10,Test for Divisibility by 6,139
Banking,IBPS PO Mains,English Language,NA,11,NA,NA
Banking,IBPS PO Mains,English Language,NA,12,NA,NA
Banking,IBPS PO Mains,English Language,NA,13,NA,NA
Banking,IBPS PO Mains,English Language,NA,14,NA,NA
Banking,IBPS PO Mains,English Language,NA,15,NA,NA
Banking,IBPS PO Mains,General Awareness,5913001,16,Non-conventional Sources of Energy,142
Banking,IBPS PO Mains,General Awareness,5912995,17,Renewable Resources of Energy,274
Banking,IBPS PO Mains,General Awareness,5912208,18,Photosynthesis,130
Banking,IBPS PO Mains,General Awareness,5912395,19,All About Plastids!,253
Banking,IBPS PO Mains,General Awareness,5913891,20,Methods of Controlling Air Pollution,318
Banking,IBPS RRB Office Assistant Prelims,Quantitative Aptitude,5914239,1,Introduction to Whole Numbers,69
Banking,IBPS RRB Office Assistant Prelims,Quantitative Aptitude,5912744,2,Sum of first n terms of Arithmetic Progression,334
Banking,IBPS RRB Office Assistant Prelims,Quantitative Aptitude,5913574,3,Geometric Progression and its nth term,321
Banking,IBPS RRB Office Assistant Prelims,Quantitative Aptitude,5912584,4,Problem on finding corrected means,190
Banking,IBPS RRB Office Assistant Prelims,Quantitative Aptitude,5914482,5,Product of Two or Three Fractions,204
Banking,IBPS RRB Office Assistant Prelims,Reasoning,5914540,6,Illustration of the Pythagorean Theorem,272
Banking,IBPS RRB Office Assistant Prelims,Reasoning,5914519,7,Word problem on age,92
Banking,IBPS RRB Office Assistant Prelims,Reasoning,5914253,8,Test for Divisibility by 4 and 8,285
Banking,IBPS RRB Office Assistant Prelims,Reasoning,5914254,9,Test for Divisibility by 9,210
Banking,IBPS RRB Office Assistant Prelims,Reasoning,5914252,10,Test for Divisibility by 6,139
Banking,IBPS RRB Office Assistant Mains,Quantitative Aptitude,5914239,1,Introduction to Whole Numbers,69
Banking,IBPS RRB Office Assistant Mains,Quantitative Aptitude,5912744,2,Sum of first n terms of Arithmetic Progression,334
Banking,IBPS RRB Office Assistant Mains,Quantitative Aptitude,5913574,3,Geometric Progression and its nth term,321
Banking,IBPS RRB Office Assistant Mains,Quantitative Aptitude,5912584,4,Problem on finding corrected means,190
Banking,IBPS RRB Office Assistant Mains,Quantitative Aptitude,5914482,5,Product of Two or Three Fractions,204
Banking,IBPS RRB Office Assistant Mains,Reasoning,5914540,6,Illustration of the Pythagorean Theorem,272
Banking,IBPS RRB Office Assistant Mains,Reasoning,5914519,7,Word problem on age,92
Banking,IBPS RRB Office Assistant Mains,Reasoning,5914253,8,Test for Divisibility by 4 and 8,285
Banking,IBPS RRB Office Assistant Mains,Reasoning,5914254,9,Test for Divisibility by 9,210
Banking,IBPS RRB Office Assistant Mains,Reasoning,5914252,10,Test for Divisibility by 6,139
Banking,IBPS RRB Office Assistant Mains,English Language,NA,11,NA,NA
Banking,IBPS RRB Office Assistant Mains,English Language,NA,12,NA,NA
Banking,IBPS RRB Office Assistant Mains,English Language,NA,13,NA,NA
Banking,IBPS RRB Office Assistant Mains,English Language,NA,14,NA,NA
Banking,IBPS RRB Office Assistant Mains,English Language,NA,15,NA,NA
Banking,IBPS RRB Office Assistant Mains,General Awareness,5913001,16,Non-conventional Sources of Energy,142
Banking,IBPS RRB Office Assistant Mains,General Awareness,5912995,17,Renewable Resources of Energy,274
Banking,IBPS RRB Office Assistant Mains,General Awareness,5912208,18,Photosynthesis,130
Banking,IBPS RRB Office Assistant Mains,General Awareness,5912395,19,All About Plastids!,253
Banking,IBPS RRB Office Assistant Mains,General Awareness,5913891,20,Methods of Controlling Air Pollution,318
Banking,IBPS RRB Office Assistant Mains,हिंदी,NA,21,NA,NA
Banking,IBPS RRB Office Assistant Mains,हिंदी,NA,22,NA,NA
Banking,IBPS RRB Office Assistant Mains,हिंदी,NA,23,NA,NA
Banking,IBPS RRB Office Assistant Mains,हिंदी,NA,24,NA,NA
Banking,IBPS RRB Office Assistant Mains,हिंदी,NA,25,NA,NA
Banking,IBPS RRB Officer Scale-1 Prelims,Quantitative Aptitude,5914239,1,Introduction to Whole Numbers,69
Banking,IBPS RRB Officer Scale-1 Prelims,Quantitative Aptitude,5912744,2,Sum of first n terms of Arithmetic Progression,334
Banking,IBPS RRB Officer Scale-1 Prelims,Quantitative Aptitude,5913574,3,Geometric Progression and its nth term,321
Banking,IBPS RRB Officer Scale-1 Prelims,Quantitative Aptitude,5912584,4,Problem on finding corrected means,190
Banking,IBPS RRB Officer Scale-1 Prelims,Quantitative Aptitude,5914482,5,Product of Two or Three Fractions,204
Banking,IBPS RRB Officer Scale-1 Prelims,Reasoning,5914540,6,Illustration of the Pythagorean Theorem,272
Banking,IBPS RRB Officer Scale-1 Prelims,Reasoning,5914519,7,Word problem on age,92
Banking,IBPS RRB Officer Scale-1 Prelims,Reasoning,5914253,8,Test for Divisibility by 4 and 8,285
Banking,IBPS RRB Officer Scale-1 Prelims,Reasoning,5914254,9,Test for Divisibility by 9,210
Banking,IBPS RRB Officer Scale-1 Prelims,Reasoning,5914252,10,Test for Divisibility by 6,139
Banking,IBPS RRB Officer Scale-1 Mains,Quantitative Aptitude,5914239,1,Introduction to Whole Numbers,69
Banking,IBPS RRB Officer Scale-1 Mains,Quantitative Aptitude,5912744,2,Sum of first n terms of Arithmetic Progression,334
Banking,IBPS RRB Officer Scale-1 Mains,Quantitative Aptitude,5913574,3,Geometric Progression and its nth term,321
Banking,IBPS RRB Officer Scale-1 Mains,Quantitative Aptitude,5912584,4,Problem on finding corrected means,190
Banking,IBPS RRB Officer Scale-1 Mains,Quantitative Aptitude,5914482,5,Product of Two or Three Fractions,204
Banking,IBPS RRB Officer Scale-1 Mains,Reasoning,5914540,6,Illustration of the Pythagorean Theorem,272
Banking,IBPS RRB Officer Scale-1 Mains,Reasoning,5914519,7,Word problem on age,92
Banking,IBPS RRB Officer Scale-1 Mains,Reasoning,5914253,8,Test for Divisibility by 4 and 8,285
Banking,IBPS RRB Officer Scale-1 Mains,Reasoning,5914254,9,Test for Divisibility by 9,210
Banking,IBPS RRB Officer Scale-1 Mains,Reasoning,5914252,10,Test for Divisibility by 6,139
Banking,IBPS RRB Officer Scale-1 Mains,English Language,NA,11,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,English Language,NA,12,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,English Language,NA,13,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,English Language,NA,14,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,English Language,NA,15,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,General Awareness,5913001,16,Non-conventional Sources of Energy,142
Banking,IBPS RRB Officer Scale-1 Mains,General Awareness,5912995,17,Renewable Resources of Energy,274
Banking,IBPS RRB Officer Scale-1 Mains,General Awareness,5912208,18,Photosynthesis,130
Banking,IBPS RRB Officer Scale-1 Mains,General Awareness,5912395,19,All About Plastids!,253
Banking,IBPS RRB Officer Scale-1 Mains,General Awareness,5913891,20,Methods of Controlling Air Pollution,318
Banking,IBPS RRB Officer Scale-1 Mains,हिंदी,NA,21,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,हिंदी,NA,22,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,हिंदी,NA,23,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,हिंदी,NA,24,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,हिंदी,NA,25,NA,NA
Banking,SBI Clerk Prelims,Quantitative Aptitude,5914239,1,Introduction to Whole Numbers,69
Banking,SBI Clerk Prelims,Quantitative Aptitude,5912744,2,Sum of first n terms of Arithmetic Progression,334
Banking,SBI Clerk Prelims,Quantitative Aptitude,5913574,3,Geometric Progression and its nth term,321
Banking,SBI Clerk Prelims,Quantitative Aptitude,5912584,4,Problem on finding corrected means,190
Banking,SBI Clerk Prelims,Quantitative Aptitude,5914482,5,Product of Two or Three Fractions,204
Banking,SBI Clerk Prelims,Reasoning,5914540,6,Illustration of the Pythagorean Theorem,272
Banking,SBI Clerk Prelims,Reasoning,5914519,7,Word problem on age,92
Banking,SBI Clerk Prelims,Reasoning,5914253,8,Test for Divisibility by 4 and 8,285
Banking,SBI Clerk Prelims,Reasoning,5914254,9,Test for Divisibility by 9,210
Banking,SBI Clerk Prelims,Reasoning,5914252,10,Test for Divisibility by 6,139
Banking,SBI Clerk Prelims,English Language,NA,11,NA,NA
Banking,SBI Clerk Prelims,English Language,NA,12,NA,NA
Banking,SBI Clerk Prelims,English Language,NA,13,NA,NA
Banking,SBI Clerk Prelims,English Language,NA,14,NA,NA
Banking,SBI Clerk Prelims,English Language,NA,15,NA,NA
Banking,SBI Clerk Mains,Quantitative Aptitude,5914239,1,Introduction to Whole Numbers,69
Banking,SBI Clerk Mains,Quantitative Aptitude,5912744,2,Sum of first n terms of Arithmetic Progression,334
Banking,SBI Clerk Mains,Quantitative Aptitude,5913574,3,Geometric Progression and its nth term,321
Banking,SBI Clerk Mains,Quantitative Aptitude,5912584,4,Problem on finding corrected means,190
Banking,SBI Clerk Mains,Quantitative Aptitude,5914482,5,Product of Two or Three Fractions,204
Banking,SBI Clerk Mains,Reasoning,5914540,6,Illustration of the Pythagorean Theorem,272
Banking,SBI Clerk Mains,Reasoning,5914519,7,Word problem on age,92
