Goal,Exam,Chapter,Chapter Id
Railways,Railways,2D - MENSURATION,5f1ff17d5093e82766a03379
Railways,Railways,3D - MENSURATION,5f1ff17d5093e82766a03392
Railways,Railways,GEOMETRY,5f1ff17e5093e82766a033b4
Railways,Railways,BASIC TRIGONOMETRY,5f1ff17e5093e82766a0341b
Railways,Railways,DATA INTERPRETATION,5f1ff17f5093e82766a03433
Railways,Railways,ANALOGY,5f1ff17f5093e82766a03465
Railways,Railways,CLASSIFICATION,5f1ff17f5093e82766a03472
Railways,Railways,ALPHABET TEST,5f1ff17f5093e82766a0347e
Railways,Railways,CODING AND DECODING,5f1ff17f5093e82766a0348b
Railways,Railways,SERIES,5f1ff1805093e82766a03498
Railways,Railways,MATHEMATICAL OPERATIONS AND REASONING,5f1ff1805093e82766a034b0
Railways,Railways,SPATIAL ORIENTATION,5f1ff1805093e82766a034b8
Railways,Railways,ORDER AND SEQUENCE,5f1ff1805093e82766a034cc
Railways,Railways,VENN DIAGRAM,5f1ff1805093e82766a034d9
Railways,Railways,INSERTING THE MISSING CHARACTERS,5f1ff1805093e82766a034e1
Railways,Railways,RELATIONSHIP CONCEPT,5f1ff1805093e82766a034e5
Railways,Railways,LOGICAL SEQUENCE OF WORDS,5f1ff1805093e82766a034ef
Railways,Railways,CLOCK AND CALENDAR,5f1ff1805093e82766a034f3
Railways,Railways,SPATIAL VISUALISATION,5f1ff1805093e82766a03501
Railways,Railways,PROBLEM SOLVING,5f1ff1805093e82766a03524
Railways,Railways,SYLLOGISM,5f1ff1815093e82766a03528
Railways,Railways,STATEMENT AND CONCLUSIONS,5f1ff1815093e82766a0354b
Railways,Railways,STATEMENT AND ASSUMPTIONS,5f1ff1815093e82766a0354f
Railways,Railways,DECISION MAKING,5f1ff1815093e82766a03555
Railways,Railways,VISUAL MEMORY,5f1ff1815093e82766a0355b
Railways,Railways,FIGURE COMPLETION,5f1ff1815093e82766a03571
Railways,Railways,FORMATION OF FIGURES,5f1ff1815093e82766a03575
Railways,Railways,COUNTING OF FIGURES,5f1ff1815093e82766a03579
Railways,Railways,PRACTICE SET,5f1ff1815093e82766a0357e
Railways,Railways,Mechanics,5eda370744008f129d19f6e5
Railways,Railways,Properties of Matter,5eda371044008f129d19f782
Railways,Railways,Heat,5eda371444008f129d19f7c6
Railways,Railways,Sound,5eda371944008f129d19f826
Railways,Railways,Optics,5eda371c44008f129d19f850
Railways,Railways,Electricity,5eda372144008f129d19f8b2
Railways,Railways,Magnetism,5eda372544008f129d19f90c
Railways,Railways,Semiconductor Electronics,5eda372a44008f129d19f956
Railways,Railways,Nature of Matter,5eda372c44008f129d19f983
Railways,Railways,Structure of Atom,5eda373044008f129d19f9c2
Railways,Railways,Classification of Elements and Periodicity in Properties,5eda373344008f129d19f9ec
Railways,Railways,"Acids, Bases and Salts",5eda373544008f129d19fa14
Railways,Railways,Metals and Non-metals,5eda373944008f129d19fa58
Railways,Railways,Environmental Pollution,5eda373d44008f129d19faa4
Railways,Railways,General Concepts of Chemistry,5eda374244008f129d19fafa
Railways,Railways,Some Important Man made Materials,5eda374644008f129d19fb3e
Railways,Railways,General Organic Chemistry,5eda374a44008f129d19fb7e
Railways,Railways,Diversity in Living Organisms,5eda374b44008f129d19fb9f
Railways,Railways,Cells and Tissues,5eda375244008f129d19fc0c
Railways,Railways,Plant Physiology,5eda375844008f129d19fc76
Railways,Railways,Human Physiology,5eda375d44008f129d19fcbe
Railways,Railways,Genetics and Evolution,5eda376244008f129d19fd28
Railways,Railways,Biology in Human Welfare,5eda376544008f129d19fd5a
Railways,Railways,Diseases and their Defence Mechanism,5eda376844008f129d19fd8c
Railways,Railways,Ecology and Environment Awareness,5eda376b44008f129d19fdc2
Railways,Railways,Mechanics,5ee24820708b969c39987f0a
Railways,Railways,Properties of Matter,5ee2482a708b969c39987fce
Railways,Railways,Oscillations and Waves,5ee2482e708b969c39988018
Railways,Railways,Heat and its Transmission,5ee24832708b969c3998805e
Railways,Railways,Optics,5ee24837708b969c399880ae
Railways,Railways,Electricity and Magnetism,5ee2483e708b969c39988134
Railways,Railways,Modern Physics,5ee24845708b969c399881b6
Railways,Railways,General Chemistry,5ee2484a708b969c39988222
Railways,Railways,Atomic Structure and Chemical Bonding,5ee2484f708b969c3998826e
Railways,Railways,Classification of Elements,5ee24855708b969c399882d2
Railways,Railways,Chemical Reactions and Equations,5ee24859708b969c3998831c
Railways,Railways,Elements and Compounds,5ee2485c708b969c39988351
Railways,Railways,Organic Chemistry,5ee24862708b969c399883c3
Railways,Railways,Chemistry in Everyday Life,5ee2486a708b969c39988443
Railways,Railways,Cell Biology,5ee2486e708b969c39988493
Railways,Railways,Biological Classification,5ee24873708b969c399884fb
Railways,Railways,Structural Organisation of Plants and Animals,5ee24877708b969c39988549
Railways,Railways,Human Physiology,5ee24879708b969c3998857b
Railways,Railways,Plant Physiology,5ee2487d708b969c399885bf
Railways,Railways,Reproduction in Plants and Animals (Humans),5ee2487e708b969c399885d5
Railways,Railways,Genetics and Evolution,5ee2487f708b969c399885f3
Railways,Railways,Biology in Human Welfare,5ee24881708b969c39988621
Railways,Railways,Computer and Information Technology,5ee24887708b969c39988677
Railways,Railways,Telecommunication,5ee24892708b969c39988733
Railways,Railways,Biotechnology,5ee24898708b969c39988790
Railways,Railways,Indian Space Programme,5ee248a2708b969c39988836
Railways,Railways,Indian Nuclear Programme,5ee248aa708b969c399888b4
Railways,Railways,Indian Defence Programme,5ee248b0708b969c39988922
Railways,Railways,PRACTICE SET,5ee248b9708b969c399889a0
Railways,Railways,PREVIOUS YEAR'S QUESTIONS,5ee248ba708b969c399889ac
Railways,Railways,Railway Recruitment Board Common Computer Based Exam. 2016 (Non-Technical Categories) Solved Paper,5eea2119f547650828b53505
Railways,Railways,Railway Recruitment Board Common Preliminary Exam. 2012 (Non-technical Group) Solved Paper,5eea2119f547650828b5350f
Railways,Railways,Indian History and Culture,5eea2119f547650828b53515
Railways,Railways,Indian Polity and Constitution,5eea2119f547650828b5351b
Railways,Railways,Indian National Movement,5eea2119f547650828b53520
Railways,Railways,Economics,5eea2119f547650828b53524
Railways,Railways,Geography of India and Ecology,5eea2119f547650828b53528
Railways,Railways,World Geography,5eea2119f547650828b5352c
Railways,Railways,Sports,5eea2119f547650828b53530
Railways,Railways,United Nations Organisation and Other World Organisations,5eea2119f547650828b53534
Railways,Railways,Awards,5eea2119f547650828b53538
Railways,Railways,Books and Authors,5eea2119f547650828b5353c
Railways,Railways,Objective Questions,5eea211af547650828b53541
Railways,Railways,General Science,5eea211af547650828b53547
Railways,Railways,Computer: An Introduction,5ef05ddc420f624a7cd858dd
Railways,Railways,History of Computer Development,5eea211af547650828b5355c
Railways,Railways,Computer: Important Terms and Glossary,5ef05ddc420f624a7cd858ed
Railways,Railways,Computer: Keyboard Shortcuts,5ef05ddc420f624a7cd858f2
Railways,Railways,Microsoft Windows,5eea211af547650828b5356e
Railways,Railways,Microsoft Office,5eea211af547650828b53572
Railways,Railways,Four Fundamental Rules,5eea211af547650828b53577
Railways,Railways,Vulgar Fractions,5eea211af547650828b5358d
Railways,Railways,Decimal Fractions,5eea211af547650828b53591
Railways,Railways,Brackets,5eea211af547650828b5359b
Railways,Railways,Ratio and Proportion,5eea211af547650828b5359f
Railways,Railways,Percentage,5eea211af547650828b535a3
Railways,Railways,Square Root,5eea211af547650828b535a7
Railways,Railways,H.C.F and L.C.M,5eea211af547650828b535ab
Railways,Railways,Partnership,5eea211af547650828b535af
Railways,Railways,Profit and Loss,5eea211af547650828b535b3
Railways,Railways,Work and Time,5eea211af547650828b535b7
Railways,Railways,Time and Distance,5eea211af547650828b535bb
Railways,Railways,Simple and Compound Interest,5eea211af547650828b535bf
Railways,Railways,Average,5eea211af547650828b535c3
Railways,Railways,Area,5eea211af547650828b535c7
Railways,Railways,Statistics,5eea211af547650828b535cb
Railways,Railways,Trigonometry,5eea211af547650828b535d1
Railways,Railways,Algebra,5eea211af547650828b535df
Railways,Railways,Elementary Geometry,5eea211af547650828b535e3
Railways,Railways,Paper Folding Type Questions,5eea211cf547650828b53692
Railways,Railways,Completion of a Figure by its Quadrant,5eea211cf547650828b53698
Railways,Railways,Embedded Figures,5eea211cf547650828b5369d
Railways,Railways,Figure and Pieces,5eea211cf547650828b536a1
Railways,Railways,To make the Figure with Pieces given in the Question Part,5eea211cf547650828b536a5
Railways,Railways,To Find Out the Fourth Figure,5eea211cf547650828b536a9
Railways,Railways,To Find the Concealed Figure,5eea211cf547650828b536ad
Railways,Railways,Analogy Test,5eea211cf547650828b536b1
Railways,Railways,Number Analogy Test,5eea211cf547650828b536b5
Railways,Railways,To Find a Missing Term in a Series,5eea211cf547650828b536b9
Railways,Railways,To Find the Odd Number,5eea211cf547650828b536bd
Railways,Railways,To Make the Meaningful Words with the Selected Letters of a Given Particular Word,5eea211cf547650828b536c1
Railways,Railways,Coding and Decoding Test,5eea211cf547650828b536c5
Railways,Railways,Direction Sense Test,5eea211cf547650828b536c9
Railways,Railways,Blood Relation,5eea211cf547650828b536cd
Railways,Railways,Arranging in Proper Sequence,5eea211cf547650828b536d1
Railways,Railways,Assigning Artificial Values and Missing Number,5eea211cf547650828b536d5
Railways,Railways,Matrix Type Test,5eea211cf547650828b536da
Railways,Railways,Logic,5eea211cf547650828b536de
Railways,Railways,Problems on Alphabet,5eea211cf547650828b536ea
Railways,Railways,Questions on Calendar and Clock,5eea211cf547650828b536ee
Railways,Railways,Dice Type Test (Cube Type Test),5eea211cf547650828b536f6
Railways,Railways,To Find the Number of Diagonals in a Given Figure,5eea211cf547650828b536ff
Railways,Railways,To Find out the Components of the Given Figure,5eea211cf547650828b53703
Railways,Railways,Grouping of Figures into Classes,5eea211cf547650828b53707
Railways,Railways,Miscellaneous Exercise - I,5eea211cf547650828b5370d
Railways,Railways,Miscellaneous Exercise - II,5eea211cf547650828b53711
Railways,Railways,Sitting Arrangement,5eea211cf547650828b53715
Railways,Railways,Puzzle Test,5eea211cf547650828b53719
Railways,Railways,Assertion-Reason,5eea211cf547650828b5371d
Banking,IBPS Clerk Mains,INDIAN FINANCIAL SYSTEM,5ee4e229456475c9ed5c6a0d
Banking,IBPS Clerk Mains,FINANCIAL MARKETS IN INDIA,5ee4e22c456475c9ed5c6a41
Banking,IBPS Clerk Mains,BANKING MEANING AND CONCEPTS,5ee4e234456475c9ed5c6ad9
Banking,IBPS Clerk Mains,RESERVE BANK OF INDIA (RBI),5ee4e23a456475c9ed5c6b5a
Banking,IBPS Clerk Mains,COMMERCIAL BANKS,5ee4e23f456475c9ed5c6ba8
Banking,IBPS Clerk Mains,REGIONAL RURAL BANKS (RRBs),5ee4e246456475c9ed5c6c31
Banking,IBPS Clerk Mains,CO-OPERATIVE BANKS IN INDIA,5ee4e249456475c9ed5c6c77
Banking,IBPS Clerk Mains,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT (NABARD),5ee4e24e456475c9ed5c6cd5
Banking,IBPS Clerk Mains,DEVELOPMENT BANKS IN INDIA,5ee4e253456475c9ed5c6d30
Banking,IBPS Clerk Mains,FINANCIAL AND BANKING SECTOR REFORMS IN INDIA,5ee4e256456475c9ed5c6d6f
Banking,IBPS Clerk Mains,FINANCIAL INCLUSION AND MICROFINANCE,5ee4e25c456475c9ed5c6dda
Banking,IBPS Clerk Mains,NON-BANKING FINANCIAL COMPANIES (NBFCs),5ee4e260456475c9ed5c6e23
Banking,IBPS Clerk Mains,VENTURE CAPITAL,5ee4e262456475c9ed5c6e58
Banking,IBPS Clerk Mains,MUTUAL FUNDS,5ee4e266456475c9ed5c6eae
Banking,IBPS Clerk Mains,STOCK EXCHANGE,5ee4e268456475c9ed5c6ed1
Banking,IBPS Clerk Mains,SECURITIES AND EXCHANGE BOARD OF INDIA (SEBI),5ee4e26e456475c9ed5c6f4d
Banking,IBPS Clerk Mains,METHODS OF ISSUING NOTES IN INDIA & INDIAN CURRENCY SYSTEM,5ee4e270456475c9ed5c6f6c
Banking,IBPS Clerk Mains,NEGOTIABLE INSTRUMENTS,5ee4e276456475c9ed5c6fe7
Banking,IBPS Clerk Mains,ACTS AND COMMISSIONS RELATED TO BANKING IN INDIA,5ee4e279456475c9ed5c7035
Banking,IBPS Clerk Mains,BANKER - CUSTOMER RELATIONSHIP,5ee4e27c456475c9ed5c706f
Banking,IBPS Clerk Mains,E- BANKING & E- COMMERCE,5ee4e282456475c9ed5c70e5
Banking,IBPS Clerk Mains,INSURANCE SECTOR IN INDIA,5ee4e289456475c9ed5c716d
Banking,IBPS Clerk Mains,INTERNATIONAL FINANCIAL ORGANIZATION,5ee4e28e456475c9ed5c71a0
Banking,IBPS Clerk Mains,BUDGET & FIVE YEAR PLANS IN INDIA,5ee4e290456475c9ed5c71c9
Banking,IBPS Clerk Mains,MODEL TEST PAPER,5ee4e297456475c9ed5c7263
Banking,IBPS Clerk Mains,PREVIOUS YEAR SOLVED PAPERS,5ee4e29a456475c9ed5c729c
Banking,IBPS Clerk Mains,INDIAN ECONOMY,5ef34787e52bc182d35a1bd2
Banking,IBPS Clerk Mains,ORIGIN AND DEVELOPMENT OF BANKING IN INDIA,5ef34789e52bc182d35a1d2c
Banking,IBPS Clerk Mains,BANKING REGULATION SYSTEM OF INDIA,5ef3478ee52bc182d35a1e17
Banking,IBPS Clerk Mains,FINANCIAL REFORMS IN BANKING SECTOR,5ef34790e52bc182d35a1eed
Banking,IBPS Clerk Mains,NEW BANKING SYSTEM,5ef34791e52bc182d35a1fa0
Banking,IBPS Clerk Mains,BANKING INNOVATION IN INDIA,5ef34792e52bc182d35a2014
Banking,IBPS Clerk Mains,FINANCIAL INSTITUTIONS IN INDIA,5ef34793e52bc182d35a20b7
Banking,IBPS Clerk Mains,MONEY MARKET AND CAPITAL MARKET,5ef34795e52bc182d35a215c
Banking,IBPS Clerk Mains,INSURANCE,5ef34797e52bc182d35a2282
Banking,IBPS Clerk Mains,"INDUSTRY, TRADE AND INTERNATIONAL ORGANISATION",5ef34798e52bc182d35a22e5
Banking,IBPS Clerk Mains,TAX AND BUDGET,5ef3479ae52bc182d35a2402
Banking,IBPS Clerk Mains,PRACTICE SET,5ef3479ce52bc182d35a250f
Banking,IBPS Clerk Mains,History of Banking-its Evolution and Development,5ef34bc3e52bc182d35a33f3
Banking,IBPS Clerk Mains,Banking and Banking Structure - Legal Aspects,5ef34bc4e52bc182d35a343c
Banking,IBPS Clerk Mains,Reserve Bank of India-Structure and Functions,5ef34bc4e52bc182d35a3471
Banking,IBPS Clerk Mains,Money Supply,5ef34bc5e52bc182d35a34d0
Banking,IBPS Clerk Mains,Banking in India,5ef34bc7e52bc182d35a35a0
Banking,IBPS Clerk Mains,Development Banks,5ef34bc7e52bc182d35a3605
Banking,IBPS Clerk Mains,Credit Functions of Banks,5ef34bc8e52bc182d35a365e
Banking,IBPS Clerk Mains,Challenges in Banking System,5ef34bc9e52bc182d35a36c9
