goal,exam,videoId,videoUrl,videoPreviewUrl,subject,videoTitle,duration,videoDescription,bgThumbnail,titleGraphicLink,teaserUrl,embiums
Banking,IBPS Clerk Prelims,5914852,https://vimeo.com/462514142,,Reasoning,Our Ecosystem,135,"Seas, grasslands, forests, deserts, lakes, etc. form the ecosystem. The ecosystem has biotic and abiotic factors. How are these factors interrelated and interdependent? Watch the video to know this.",https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1xEdJf0YYhuJRrzVouWBvWHqt0m7_Hsao.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1niOCx5Qz0LKSg3jvVaHAYmzsXkGqL3CT.webp,https://vimeo.com/467281314/d47200c357,100
Banking,IBPS Clerk Mains,5912272,https://vimeo.com/455323244,,Quantitative Aptitude,Pie Chart,220,"Pies, apart from being a sweet or savoury dish, have a mathematical significance in the form of pie charts. Each sector of the pie represents a portion of the whole. Watch the video to learn about them.",https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1nTIKbSvfThGTMX86NBVqbjf9QB2Y7yVV.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1MTU8eULNCQf0S6HTG8amPViAkWx_7Zry.webp,https://vimeo.com/467281380/4522909a61,100
Banking,IBPS PO Prelims,5912272,https://vimeo.com/455323244,,Quantitative Aptitude,Pie Chart,220,"Pies, apart from being a sweet or savoury dish, have a mathematical significance in the form of pie charts. Each sector of the pie represents a portion of the whole. Watch the video to learn about them.",https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1nTIKbSvfThGTMX86NBVqbjf9QB2Y7yVV.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1MTU8eULNCQf0S6HTG8amPViAkWx_7Zry.webp,https://vimeo.com/467281380/4522909a61,100
Banking,IBPS PO Mains,5912272,https://vimeo.com/455323244,,Quantitative Aptitude,Pie Chart,220,"Pies, apart from being a sweet or savoury dish, have a mathematical significance in the form of pie charts. Each sector of the pie represents a portion of the whole. Watch the video to learn about them.",https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1nTIKbSvfThGTMX86NBVqbjf9QB2Y7yVV.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1MTU8eULNCQf0S6HTG8amPViAkWx_7Zry.webp,https://vimeo.com/467281380/4522909a61,100
Banking,IBPS RRB Office Assistant Prelims,5912272,https://vimeo.com/455323244,,Quantitative Aptitude,Pie Chart,220,"Pies, apart from being a sweet or savoury dish, have a mathematical significance in the form of pie charts. Each sector of the pie represents a portion of the whole. Watch the video to learn about them.",https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1nTIKbSvfThGTMX86NBVqbjf9QB2Y7yVV.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1MTU8eULNCQf0S6HTG8amPViAkWx_7Zry.webp,https://vimeo.com/467281380/4522909a61,100
Banking,IBPS RRB Office Assistant Mains,5912272,https://vimeo.com/455323244,,Quantitative Aptitude,Pie Chart,220,"Pies, apart from being a sweet or savoury dish, have a mathematical significance in the form of pie charts. Each sector of the pie represents a portion of the whole. Watch the video to learn about them.",https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1nTIKbSvfThGTMX86NBVqbjf9QB2Y7yVV.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1MTU8eULNCQf0S6HTG8amPViAkWx_7Zry.webp,https://vimeo.com/467281380/4522909a61,100
Banking,IBPS RRB Officer Scale-I Prelims,5914852,https://vimeo.com/462514142,,Reasoning,Our Ecosystem,135,"Seas, grasslands, forests, deserts, lakes, etc. form the ecosystem. The ecosystem has biotic and abiotic factors. How are these factors interrelated and interdependent? Watch the video to know this.",https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1xEdJf0YYhuJRrzVouWBvWHqt0m7_Hsao.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1niOCx5Qz0LKSg3jvVaHAYmzsXkGqL3CT.webp,https://vimeo.com/467281314/d47200c357,100
Banking,IBPS RRB Officer Scale-I Mains,5912272,https://vimeo.com/455323244,,Quantitative Aptitude,Pie Chart,220,"Pies, apart from being a sweet or savoury dish, have a mathematical significance in the form of pie charts. Each sector of the pie represents a portion of the whole. Watch the video to learn about them.",https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1nTIKbSvfThGTMX86NBVqbjf9QB2Y7yVV.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1MTU8eULNCQf0S6HTG8amPViAkWx_7Zry.webp,https://vimeo.com/467281380/4522909a61,100
Banking,SBI Clerk Prelims,5914852,https://vimeo.com/462514142,,Reasoning,Our Ecosystem,135,"Seas, grasslands, forests, deserts, lakes, etc. form the ecosystem. The ecosystem has biotic and abiotic factors. How are these factors interrelated and interdependent? Watch the video to know this.",https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1xEdJf0YYhuJRrzVouWBvWHqt0m7_Hsao.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1niOCx5Qz0LKSg3jvVaHAYmzsXkGqL3CT.webp,https://vimeo.com/467281314/d47200c357,100
Banking,SBI Clerk Mains,5912272,https://vimeo.com/455323244,,Quantitative Aptitude,Pie Chart,220,"Pies, apart from being a sweet or savoury dish, have a mathematical significance in the form of pie charts. Each sector of the pie represents a portion of the whole. Watch the video to learn about them.",https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1nTIKbSvfThGTMX86NBVqbjf9QB2Y7yVV.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1MTU8eULNCQf0S6HTG8amPViAkWx_7Zry.webp,https://vimeo.com/467281380/4522909a61,100
Banking,SBI PO Prelims,5912272,https://vimeo.com/455323244,,Quantitative Aptitude,Pie Chart,220,"Pies, apart from being a sweet or savoury dish, have a mathematical significance in the form of pie charts. Each sector of the pie represents a portion of the whole. Watch the video to learn about them.",https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1nTIKbSvfThGTMX86NBVqbjf9QB2Y7yVV.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1MTU8eULNCQf0S6HTG8amPViAkWx_7Zry.webp,https://vimeo.com/467281380/4522909a61,100
Banking,SBI PO Mains,5915059,https://vimeo.com/455633915,,General Awareness,Spoiling the Soil,104,The human population is increasing day by day. It is not only affecting the resources but is also a cause of pollution. Do you know how? Watch the video to know this.,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1ydbl2L94HgOe-QB3JE08RuVnE6FKnQaf.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/17F90Qzf8bcYusYvkIFOy0V-B_RhCbm-E.webp,,100
SSC,SSC,5913645,https://vimeo.com/455305965,,Reasoning,Mathematical Statement,74,"We view math only as complicated equations and algorithms. But math, at its core, is about determining truth, at least for certain precise mathematical statements. Let's explore them in this video.",https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1_sSQ8AK8iOwMlvdiH6n7mKILVw-uUXuu.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1GdyN1eIJO36f0sGy3iudT7_9eZcXKv7l.webp,https://vimeo.com/467311681,100
Teaching,CTET Paper 1,5914311,https://vimeo.com/456120897,,Mathematics,Addition of Integers with the Help of Absolute Values,74,What does absolute value mean? And how to add two integers using the absolute value strategy? Watch the video to learn about it with simplified examples.,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1Lfwkc6NsmiBK1zRRLGzqDXg5yKS603Uz.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1kOuiYmum16xwSeh3NxnPBACJa8dSBoIi.webp,https://vimeo.com/467345070,100
Teaching,CTET Paper 2,5914251,https://vimeo.com/456020774,,Child Development & Pedagogy,Test for Divisibility by 3,177,"If the sum of the digits of a number is a number that you find in the 3 times table, then the number is divisible by 3. Learn more in this video.",https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/19y34AhTd67lpvkGEDBHc3PocuMdQxmdM.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1_Y6AX4u-trSvvftwNr_fBOCMtTVnVPeU.webp,https://vimeo.com/467281498/cab103b060,100
Railways,Railways,5912377,https://vimeo.com/454431291,,General Awareness,Global Warming,120,"Hot days are getting hotter and more frequent all over the globe, while we are experiencing fewer cold days. This is happening due to a phenomenon called ‘global warming’. In this video you will be studying different causes and effects of global warming.",https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/12B3eDnITcAwV8njDNTQ3D83V8MNsEPkL.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1C7SDZp_B77vVsgbkHw08CQV20mb22B9S.webp,https://vimeo.com/467344338,100
Insurance,Insurance,5913578,https://vimeo.com/455298895,,Quantitative Aptitude,Introduction of Geometric Mean,159,"the geometric mean is a mean or average, which indicates the central tendency or typical value of a set of numbers by using the product of their values. Watch to learn more!",https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1rhTjHa8A35MnZEJtAxfIkfTLmTu-g9Pe.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1mHQdmF6VqYRijfffZWwhQMxuLAeKa99V.webp,https://vimeo.com/467316245,100
Defence,Defence,5913645,https://vimeo.com/455305965,,Reasoning,Mathematical Statement,74,"We view math only as complicated equations and algorithms. But math, at its core, is about determining truth, at least for certain precise mathematical statements. Let's explore them in this video.",https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1_sSQ8AK8iOwMlvdiH6n7mKILVw-uUXuu.webp,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1GdyN1eIJO36f0sGy3iudT7_9eZcXKv7l.webp,https://vimeo.com/467311681,100
